2026-07-31 15:01:16 [INFO] === baseline_reformer  run_dir=C:\Users\user\Desktop\ansyu_li\tree_former\runs\20260731_143558 ===
2026-07-31 15:01:16 [INFO] Device: cuda
2026-07-31 15:01:16 [INFO] 
============================================================
  All-Grid Reformer (Base)
============================================================
2026-07-31 15:01:16 [INFO]   Params: 23.4K
2026-07-31 15:08:22 [INFO]   [All-Grid Reformer (Base)] Epoch  36/100 | Train: 0.10699 | Val: 0.11573 | elapsed 425.8s | GPU 23/24564MB
2026-07-31 15:08:34 [INFO]   [All-Grid Reformer (Base)] Epoch  37/100 | Train: 0.10719 | Val: 0.10943 | elapsed 437.6s | GPU 23/24564MB
2026-07-31 15:08:46 [INFO]   [All-Grid Reformer (Base)] Epoch  38/100 | Train: 0.10657 | Val: 0.10965 | elapsed 449.4s | GPU 23/24564MB
2026-07-31 15:08:58 [INFO]   [All-Grid Reformer (Base)] Epoch  39/100 | Train: 0.10643 | Val: 0.10901 <- best | elapsed 461.2s | GPU 23/24564MB
2026-07-31 15:09:10 [INFO]   [All-Grid Reformer (Base)] Epoch  40/100 | Train: 0.10653 | Val: 0.10952 | elapsed 473.0s | GPU 23/24564MB
2026-07-31 15:09:22 [INFO]   [All-Grid Reformer (Base)] Epoch  41/100 | Train: 0.10652 | Val: 0.11275 | elapsed 484.8s | GPU 23/24564MB
2026-07-31 15:09:33 [INFO]   [All-Grid Reformer (Base)] Epoch  42/100 | Train: 0.10648 | Val: 0.10872 <- best | elapsed 496.6s | GPU 23/24564MB
2026-07-31 15:09:45 [INFO]   [All-Grid Reformer (Base)] Epoch  43/100 | Train: 0.10648 | Val: 0.10940 | elapsed 508.4s | GPU 23/24564MB
2026-07-31 15:09:57 [INFO]   [All-Grid Reformer (Base)] Epoch  44/100 | Train: 0.10601 | Val: 0.11067 | elapsed 520.3s | GPU 23/24564MB
2026-07-31 15:10:09 [INFO]   [All-Grid Reformer (Base)] Epoch  45/100 | Train: 0.10623 | Val: 0.10872 | elapsed 532.1s | GPU 23/24564MB
2026-07-31 15:10:21 [INFO]   [All-Grid Reformer (Base)] Epoch  46/100 | Train: 0.10562 | Val: 0.10902 | elapsed 543.9s | GPU 23/24564MB
2026-07-31 15:10:32 [INFO]   [All-Grid Reformer (Base)] Epoch  47/100 | Train: 0.10579 | Val: 0.11190 | elapsed 555.7s | GPU 23/24564MB
2026-07-31 15:10:44 [INFO]   [All-Grid Reformer (Base)] Epoch  48/100 | Train: 0.10556 | Val: 0.10962 | elapsed 567.5s | GPU 23/24564MB
2026-07-31 15:10:56 [INFO]   [All-Grid Reformer (Base)] Epoch  49/100 | Train: 0.10560 | Val: 0.10941 | elapsed 579.4s | GPU 23/24564MB
2026-07-31 15:11:08 [INFO]   [All-Grid Reformer (Base)] Epoch  50/100 | Train: 0.10557 | Val: 0.10880 | elapsed 591.2s | GPU 23/24564MB
2026-07-31 15:11:20 [INFO]   [All-Grid Reformer (Base)] Epoch  51/100 | Train: 0.10584 | Val: 0.11046 | elapsed 603.0s | GPU 23/24564MB
2026-07-31 15:11:31 [INFO]   [All-Grid Reformer (Base)] Epoch  52/100 | Train: 0.10533 | Val: 0.10840 <- best | elapsed 614.8s | GPU 23/24564MB
2026-07-31 15:11:43 [INFO]   [All-Grid Reformer (Base)] Epoch  53/100 | Train: 0.10537 | Val: 0.10851 | elapsed 626.6s | GPU 23/24564MB
2026-07-31 15:11:55 [INFO]   [All-Grid Reformer (Base)] Epoch  54/100 | Train: 0.10540 | Val: 0.10912 | elapsed 638.4s | GPU 23/24564MB
2026-07-31 15:12:07 [INFO]   [All-Grid Reformer (Base)] Epoch  55/100 | Train: 0.10529 | Val: 0.10842 | elapsed 650.2s | GPU 23/24564MB
2026-07-31 15:12:19 [INFO]   [All-Grid Reformer (Base)] Epoch  56/100 | Train: 0.10526 | Val: 0.11092 | elapsed 662.0s | GPU 23/24564MB
2026-07-31 15:12:30 [INFO]   [All-Grid Reformer (Base)] Epoch  57/100 | Train: 0.10519 | Val: 0.10849 | elapsed 673.8s | GPU 23/24564MB
2026-07-31 15:12:42 [INFO]   [All-Grid Reformer (Base)] Epoch  58/100 | Train: 0.10520 | Val: 0.10823 <- best | elapsed 685.6s | GPU 23/24564MB
2026-07-31 15:12:54 [INFO]   [All-Grid Reformer (Base)] Epoch  59/100 | Train: 0.10479 | Val: 0.10947 | elapsed 697.4s | GPU 23/24564MB
2026-07-31 15:13:06 [INFO]   [All-Grid Reformer (Base)] Epoch  60/100 | Train: 0.10482 | Val: 0.11009 | elapsed 709.2s | GPU 23/24564MB
2026-07-31 15:13:18 [INFO]   [All-Grid Reformer (Base)] Epoch  61/100 | Train: 0.10494 | Val: 0.10878 | elapsed 721.0s | GPU 23/24564MB
2026-07-31 15:13:29 [INFO]   [All-Grid Reformer (Base)] Epoch  62/100 | Train: 0.10491 | Val: 0.10877 | elapsed 732.8s | GPU 23/24564MB
2026-07-31 15:13:41 [INFO]   [All-Grid Reformer (Base)] Epoch  63/100 | Train: 0.10465 | Val: 0.10853 | elapsed 744.6s | GPU 23/24564MB
2026-07-31 15:13:53 [INFO]   [All-Grid Reformer (Base)] Epoch  64/100 | Train: 0.10496 | Val: 0.11078 | elapsed 756.4s | GPU 23/24564MB
2026-07-31 15:14:05 [INFO]   [All-Grid Reformer (Base)] Epoch  65/100 | Train: 0.10461 | Val: 0.10940 | elapsed 768.2s | GPU 23/24564MB
2026-07-31 15:14:17 [INFO]   [All-Grid Reformer (Base)] Epoch  66/100 | Train: 0.10443 | Val: 0.10914 | elapsed 780.0s | GPU 23/24564MB
2026-07-31 15:14:29 [INFO]   [All-Grid Reformer (Base)] Epoch  67/100 | Train: 0.10444 | Val: 0.10772 <- best | elapsed 791.8s | GPU 23/24564MB
2026-07-31 15:14:40 [INFO]   [All-Grid Reformer (Base)] Epoch  68/100 | Train: 0.10442 | Val: 0.10882 | elapsed 803.6s | GPU 23/24564MB
2026-07-31 15:14:52 [INFO]   [All-Grid Reformer (Base)] Epoch  69/100 | Train: 0.10449 | Val: 0.10848 | elapsed 815.5s | GPU 23/24564MB
2026-07-31 15:15:04 [INFO]   [All-Grid Reformer (Base)] Epoch  70/100 | Train: 0.10428 | Val: 0.10955 | elapsed 827.3s | GPU 23/24564MB
2026-07-31 15:15:16 [INFO]   [All-Grid Reformer (Base)] Epoch  71/100 | Train: 0.10431 | Val: 0.10813 | elapsed 839.1s | GPU 23/24564MB
2026-07-31 15:15:28 [INFO]   [All-Grid Reformer (Base)] Epoch  72/100 | Train: 0.10439 | Val: 0.10772 | elapsed 850.9s | GPU 23/24564MB
2026-07-31 15:15:39 [INFO]   [All-Grid Reformer (Base)] Epoch  73/100 | Train: 0.10432 | Val: 0.10943 | elapsed 862.7s | GPU 23/24564MB
2026-07-31 15:15:51 [INFO]   [All-Grid Reformer (Base)] Epoch  74/100 | Train: 0.10419 | Val: 0.10821 | elapsed 874.5s | GPU 23/24564MB
2026-07-31 15:16:03 [INFO]   [All-Grid Reformer (Base)] Epoch  75/100 | Train: 0.10409 | Val: 0.10862 | elapsed 886.3s | GPU 23/24564MB
2026-07-31 15:16:15 [INFO]   [All-Grid Reformer (Base)] Epoch  76/100 | Train: 0.10400 | Val: 0.10852 | elapsed 898.1s | GPU 23/24564MB
2026-07-31 15:16:27 [INFO]   [All-Grid Reformer (Base)] Epoch  77/100 | Train: 0.10382 | Val: 0.10822 | elapsed 909.9s | GPU 23/24564MB
2026-07-31 15:16:27 [INFO]   [Early Stop] All-Grid Reformer (Base) epoch 77
2026-07-31 15:16:30 [INFO]   TEST MAE=52.7106  wMAPE=3.90%  Time=909.9s
2026-07-31 15:16:30 [INFO] 
============================================================
  All-Grid Reformer (Large)
============================================================
2026-07-31 15:16:30 [INFO]   Params: 183.2K
2026-07-31 15:17:07 [INFO]   [All-Grid Reformer (Large)] Epoch   1/100 | Train: 0.15412 | Val: 0.12255 <- best | elapsed 37.3s | GPU 42/24564MB
2026-07-31 15:17:44 [INFO]   [All-Grid Reformer (Large)] Epoch   2/100 | Train: 0.12221 | Val: 0.12068 <- best | elapsed 74.3s | GPU 42/24564MB
2026-07-31 15:18:21 [INFO]   [All-Grid Reformer (Large)] Epoch   3/100 | Train: 0.11866 | Val: 0.12468 | elapsed 111.4s | GPU 42/24564MB
2026-07-31 15:18:58 [INFO]   [All-Grid Reformer (Large)] Epoch   4/100 | Train: 0.11540 | Val: 0.11251 <- best | elapsed 148.5s | GPU 42/24564MB
2026-07-31 15:19:35 [INFO]   [All-Grid Reformer (Large)] Epoch   5/100 | Train: 0.11353 | Val: 0.11209 <- best | elapsed 185.5s | GPU 42/24564MB
2026-07-31 15:20:12 [INFO]   [All-Grid Reformer (Large)] Epoch   6/100 | Train: 0.11267 | Val: 0.11363 | elapsed 222.6s | GPU 42/24564MB
2026-07-31 15:20:49 [INFO]   [All-Grid Reformer (Large)] Epoch   7/100 | Train: 0.11107 | Val: 0.11106 <- best | elapsed 259.7s | GPU 42/24564MB
2026-07-31 15:21:26 [INFO]   [All-Grid Reformer (Large)] Epoch   8/100 | Train: 0.11064 | Val: 0.11587 | elapsed 296.7s | GPU 42/24564MB
2026-07-31 15:22:03 [INFO]   [All-Grid Reformer (Large)] Epoch   9/100 | Train: 0.10959 | Val: 0.11010 <- best | elapsed 333.7s | GPU 42/24564MB
2026-07-31 15:22:40 [INFO]   [All-Grid Reformer (Large)] Epoch  10/100 | Train: 0.10883 | Val: 0.11119 | elapsed 370.7s | GPU 42/24564MB
2026-07-31 15:23:17 [INFO]   [All-Grid Reformer (Large)] Epoch  11/100 | Train: 0.10847 | Val: 0.11415 | elapsed 407.6s | GPU 42/24564MB
2026-07-31 15:23:54 [INFO]   [All-Grid Reformer (Large)] Epoch  12/100 | Train: 0.10788 | Val: 0.11862 | elapsed 444.6s | GPU 42/24564MB
2026-07-31 15:24:31 [INFO]   [All-Grid Reformer (Large)] Epoch  13/100 | Train: 0.10717 | Val: 0.11076 | elapsed 481.6s | GPU 42/24564MB
2026-07-31 15:25:08 [INFO]   [All-Grid Reformer (Large)] Epoch  14/100 | Train: 0.10727 | Val: 0.11136 | elapsed 518.5s | GPU 42/24564MB
2026-07-31 15:25:45 [INFO]   [All-Grid Reformer (Large)] Epoch  15/100 | Train: 0.10722 | Val: 0.10889 <- best | elapsed 555.5s | GPU 42/24564MB
