2026-07-31 16:05:54 [INFO] === ablation  run_dir=C:\Users\user\Desktop\ansyu_li\tree_former\runs\20260731_143558 ===
2026-07-31 16:05:54 [INFO] Device: cuda  N=300
2026-07-31 16:05:54 [INFO] 
==================================================
  Ablation: Full
==================================================
2026-07-31 16:05:54 [INFO]   Params: 253.1K
2026-07-31 16:07:45 [INFO]   [Full] Epoch  40/100 | Train: 3950.53441 | Val: 4809.40116 | elapsed 110.5s | GPU 30/24564MB
2026-07-31 16:07:48 [INFO]   [Full] Epoch  41/100 | Train: 3943.54028 | Val: 4782.80783 | elapsed 113.6s | GPU 30/24564MB
2026-07-31 16:07:51 [INFO]   [Full] Epoch  42/100 | Train: 3909.08664 | Val: 4817.03062 | elapsed 115.9s | GPU 30/24564MB
2026-07-31 16:07:53 [INFO]   [Full] Epoch  43/100 | Train: 3881.44072 | Val: 4803.13394 | elapsed 118.4s | GPU 30/24564MB
2026-07-31 16:07:55 [INFO]   [Full] Epoch  44/100 | Train: 3882.87702 | Val: 4752.84026 <- best | elapsed 120.7s | GPU 30/24564MB
2026-07-31 16:07:58 [INFO]   [Full] Epoch  45/100 | Train: 3919.20271 | Val: 4804.04485 | elapsed 123.4s | GPU 30/24564MB
2026-07-31 16:08:01 [INFO]   [Full] Epoch  46/100 | Train: 3811.00688 | Val: 4760.62473 | elapsed 126.4s | GPU 30/24564MB
2026-07-31 16:08:04 [INFO]   [Full] Epoch  47/100 | Train: 3866.27828 | Val: 4604.31865 <- best | elapsed 129.4s | GPU 30/24564MB
2026-07-31 16:08:07 [INFO]   [Full] Epoch  48/100 | Train: 3776.73997 | Val: 4627.56779 | elapsed 132.3s | GPU 30/24564MB
2026-07-31 16:08:10 [INFO]   [Full] Epoch  49/100 | Train: 3775.30004 | Val: 4569.74208 <- best | elapsed 135.2s | GPU 30/24564MB
2026-07-31 16:08:13 [INFO]   [Full] Epoch  50/100 | Train: 3689.01666 | Val: 4636.33974 | elapsed 138.1s | GPU 30/24564MB
2026-07-31 16:08:16 [INFO]   [Full] Epoch  51/100 | Train: 3679.85869 | Val: 4910.12291 | elapsed 141.0s | GPU 30/24564MB
2026-07-31 16:08:19 [INFO]   [Full] Epoch  52/100 | Train: 3719.48710 | Val: 4925.49844 | elapsed 144.0s | GPU 30/24564MB
2026-07-31 16:08:21 [INFO]   [Full] Epoch  53/100 | Train: 3732.23051 | Val: 5140.99127 | elapsed 146.2s | GPU 30/24564MB
2026-07-31 16:08:23 [INFO]   [Full] Epoch  54/100 | Train: 3678.82288 | Val: 4860.12231 | elapsed 148.5s | GPU 30/24564MB
2026-07-31 16:08:26 [INFO]   [Full] Epoch  55/100 | Train: 3644.36388 | Val: 4637.68968 | elapsed 151.0s | GPU 30/24564MB
2026-07-31 16:08:28 [INFO]   [Full] Epoch  56/100 | Train: 3654.13634 | Val: 4532.79807 <- best | elapsed 153.3s | GPU 30/24564MB
2026-07-31 16:08:30 [INFO]   [Full] Epoch  57/100 | Train: 3586.16494 | Val: 4732.69419 | elapsed 155.5s | GPU 30/24564MB
2026-07-31 16:08:33 [INFO]   [Full] Epoch  58/100 | Train: 3586.26294 | Val: 5109.53997 | elapsed 157.8s | GPU 30/24564MB
2026-07-31 16:08:35 [INFO]   [Full] Epoch  59/100 | Train: 3526.33781 | Val: 4484.85634 <- best | elapsed 160.1s | GPU 30/24564MB
2026-07-31 16:08:37 [INFO]   [Full] Epoch  60/100 | Train: 3548.51596 | Val: 4675.36811 | elapsed 162.5s | GPU 30/24564MB
2026-07-31 16:08:40 [INFO]   [Full] Epoch  61/100 | Train: 3484.99739 | Val: 4596.77155 | elapsed 164.7s | GPU 30/24564MB
2026-07-31 16:08:42 [INFO]   [Full] Epoch  62/100 | Train: 3542.26764 | Val: 4687.82426 | elapsed 167.0s | GPU 30/24564MB
2026-07-31 16:08:45 [INFO]   [Full] Epoch  63/100 | Train: 3524.59438 | Val: 4750.41387 | elapsed 169.7s | GPU 30/24564MB
2026-07-31 16:08:47 [INFO]   [Full] Epoch  64/100 | Train: 3533.96394 | Val: 4547.41663 | elapsed 172.0s | GPU 30/24564MB
2026-07-31 16:08:49 [INFO]   [Full] Epoch  65/100 | Train: 3490.83542 | Val: 4659.08576 | elapsed 174.7s | GPU 30/24564MB
2026-07-31 16:08:52 [INFO]   [Full] Epoch  66/100 | Train: 3456.92503 | Val: 4566.96592 | elapsed 177.0s | GPU 30/24564MB
2026-07-31 16:08:54 [INFO]   [Full] Epoch  67/100 | Train: 3408.52857 | Val: 4926.95409 | elapsed 179.5s | GPU 30/24564MB
2026-07-31 16:08:57 [INFO]   [Full] Epoch  68/100 | Train: 3432.80333 | Val: 4618.80036 | elapsed 181.9s | GPU 30/24564MB
2026-07-31 16:08:59 [INFO]   [Full] Epoch  69/100 | Train: 3395.33546 | Val: 4592.36454 | elapsed 184.1s | GPU 30/24564MB
2026-07-31 16:08:59 [INFO]   [Early Stop] Full epoch 69
2026-07-31 16:09:02 [INFO]   MAE=37.7989  wMAPE=2.80%  Time=184.1s
2026-07-31 16:09:02 [INFO] 
==================================================
  Ablation: w/o RevIN
==================================================
2026-07-31 16:09:02 [INFO]   Params: 253.1K
2026-07-31 16:09:04 [INFO]   [w/o RevIN] Epoch   1/100 | Train: 0.17094 | Val: 0.11337 <- best | elapsed 2.5s | GPU 30/24564MB
2026-07-31 16:09:06 [INFO]   [w/o RevIN] Epoch   2/100 | Train: 0.09864 | Val: 0.09422 <- best | elapsed 4.7s | GPU 30/24564MB
2026-07-31 16:09:09 [INFO]   [w/o RevIN] Epoch   3/100 | Train: 0.08682 | Val: 0.08782 <- best | elapsed 7.2s | GPU 30/24564MB
2026-07-31 16:09:11 [INFO]   [w/o RevIN] Epoch   4/100 | Train: 0.07987 | Val: 0.08267 <- best | elapsed 9.5s | GPU 30/24564MB
2026-07-31 16:09:14 [INFO]   [w/o RevIN] Epoch   5/100 | Train: 0.07449 | Val: 0.07986 <- best | elapsed 11.7s | GPU 30/24564MB
2026-07-31 16:09:16 [INFO]   [w/o RevIN] Epoch   6/100 | Train: 0.07185 | Val: 0.07755 <- best | elapsed 14.0s | GPU 30/24564MB
2026-07-31 16:09:18 [INFO]   [w/o RevIN] Epoch   7/100 | Train: 0.06904 | Val: 0.07551 <- best | elapsed 16.4s | GPU 30/24564MB
2026-07-31 16:09:21 [INFO]   [w/o RevIN] Epoch   8/100 | Train: 0.06628 | Val: 0.08204 | elapsed 19.3s | GPU 30/24564MB
2026-07-31 16:09:24 [INFO]   [w/o RevIN] Epoch   9/100 | Train: 0.06602 | Val: 0.07144 <- best | elapsed 22.2s | GPU 30/24564MB
2026-07-31 16:09:27 [INFO]   [w/o RevIN] Epoch  10/100 | Train: 0.06379 | Val: 0.07159 | elapsed 25.1s | GPU 30/24564MB
2026-07-31 16:09:30 [INFO]   [w/o RevIN] Epoch  11/100 | Train: 0.06225 | Val: 0.06961 <- best | elapsed 28.0s | GPU 30/24564MB
2026-07-31 16:09:33 [INFO]   [w/o RevIN] Epoch  12/100 | Train: 0.06198 | Val: 0.07091 | elapsed 30.8s | GPU 30/24564MB
2026-07-31 16:09:35 [INFO]   [w/o RevIN] Epoch  13/100 | Train: 0.06084 | Val: 0.06922 <- best | elapsed 33.7s | GPU 30/24564MB
2026-07-31 16:09:39 [INFO]   [w/o RevIN] Epoch  14/100 | Train: 0.05972 | Val: 0.06995 | elapsed 36.8s | GPU 30/24564MB
2026-07-31 16:09:42 [INFO]   [w/o RevIN] Epoch  15/100 | Train: 0.05918 | Val: 0.06897 <- best | elapsed 39.8s | GPU 30/24564MB
2026-07-31 16:09:44 [INFO]   [w/o RevIN] Epoch  16/100 | Train: 0.05863 | Val: 0.06831 <- best | elapsed 42.6s | GPU 30/24564MB
2026-07-31 16:09:47 [INFO]   [w/o RevIN] Epoch  17/100 | Train: 0.05767 | Val: 0.06774 <- best | elapsed 45.5s | GPU 30/24564MB
2026-07-31 16:09:50 [INFO]   [w/o RevIN] Epoch  18/100 | Train: 0.05748 | Val: 0.07306 | elapsed 48.4s | GPU 30/24564MB
2026-07-31 16:09:53 [INFO]   [w/o RevIN] Epoch  19/100 | Train: 0.05698 | Val: 0.06870 | elapsed 51.3s | GPU 30/24564MB
2026-07-31 16:09:56 [INFO]   [w/o RevIN] Epoch  20/100 | Train: 0.05638 | Val: 0.06888 | elapsed 54.1s | GPU 30/24564MB
2026-07-31 16:09:59 [INFO]   [w/o RevIN] Epoch  21/100 | Train: 0.05600 | Val: 0.06823 | elapsed 57.0s | GPU 30/24564MB
2026-07-31 16:10:02 [INFO]   [w/o RevIN] Epoch  22/100 | Train: 0.05609 | Val: 0.06870 | elapsed 59.9s | GPU 30/24564MB
2026-07-31 16:10:05 [INFO]   [w/o RevIN] Epoch  23/100 | Train: 0.05483 | Val: 0.06695 <- best | elapsed 62.8s | GPU 30/24564MB
2026-07-31 16:10:08 [INFO]   [w/o RevIN] Epoch  24/100 | Train: 0.05457 | Val: 0.06669 <- best | elapsed 65.7s | GPU 30/24564MB
2026-07-31 16:10:11 [INFO]   [w/o RevIN] Epoch  25/100 | Train: 0.05438 | Val: 0.06520 <- best | elapsed 68.8s | GPU 30/24564MB
2026-07-31 16:10:14 [INFO]   [w/o RevIN] Epoch  26/100 | Train: 0.05414 | Val: 0.06635 | elapsed 71.8s | GPU 30/24564MB
2026-07-31 16:10:16 [INFO]   [w/o RevIN] Epoch  27/100 | Train: 0.05371 | Val: 0.06615 | elapsed 74.6s | GPU 30/24564MB
2026-07-31 16:10:19 [INFO]   [w/o RevIN] Epoch  28/100 | Train: 0.05331 | Val: 0.06613 | elapsed 77.5s | GPU 30/24564MB
2026-07-31 16:10:22 [INFO]   [w/o RevIN] Epoch  29/100 | Train: 0.05345 | Val: 0.06694 | elapsed 80.0s | GPU 30/24564MB
2026-07-31 16:10:24 [INFO]   [w/o RevIN] Epoch  30/100 | Train: 0.05277 | Val: 0.06527 | elapsed 82.3s | GPU 30/24564MB
2026-07-31 16:10:26 [INFO]   [w/o RevIN] Epoch  31/100 | Train: 0.05255 | Val: 0.06486 <- best | elapsed 84.5s | GPU 30/24564MB
2026-07-31 16:10:29 [INFO]   [w/o RevIN] Epoch  32/100 | Train: 0.05241 | Val: 0.06714 | elapsed 87.0s | GPU 30/24564MB
2026-07-31 16:10:31 [INFO]   [w/o RevIN] Epoch  33/100 | Train: 0.05222 | Val: 0.06560 | elapsed 89.2s | GPU 30/24564MB
2026-07-31 16:10:33 [INFO]   [w/o RevIN] Epoch  34/100 | Train: 0.05164 | Val: 0.06503 | elapsed 91.4s | GPU 30/24564MB
2026-07-31 16:10:36 [INFO]   [w/o RevIN] Epoch  35/100 | Train: 0.05143 | Val: 0.06725 | elapsed 94.1s | GPU 30/24564MB
2026-07-31 16:10:38 [INFO]   [w/o RevIN] Epoch  36/100 | Train: 0.05097 | Val: 0.06518 | elapsed 96.5s | GPU 30/24564MB
2026-07-31 16:10:41 [INFO]   [w/o RevIN] Epoch  37/100 | Train: 0.05102 | Val: 0.06443 <- best | elapsed 98.8s | GPU 30/24564MB
2026-07-31 16:10:43 [INFO]   [w/o RevIN] Epoch  38/100 | Train: 0.05054 | Val: 0.06476 | elapsed 101.0s | GPU 30/24564MB
2026-07-31 16:10:45 [INFO]   [w/o RevIN] Epoch  39/100 | Train: 0.05039 | Val: 0.06611 | elapsed 103.3s | GPU 30/24564MB
2026-07-31 16:10:47 [INFO]   [w/o RevIN] Epoch  40/100 | Train: 0.05013 | Val: 0.06581 | elapsed 105.7s | GPU 30/24564MB
2026-07-31 16:10:50 [INFO]   [w/o RevIN] Epoch  41/100 | Train: 0.05031 | Val: 0.06436 <- best | elapsed 108.0s | GPU 30/24564MB
2026-07-31 16:10:52 [INFO]   [w/o RevIN] Epoch  42/100 | Train: 0.04978 | Val: 0.06502 | elapsed 110.6s | GPU 30/24564MB
2026-07-31 16:10:55 [INFO]   [w/o RevIN] Epoch  43/100 | Train: 0.04953 | Val: 0.06584 | elapsed 113.3s | GPU 30/24564MB
2026-07-31 16:10:58 [INFO]   [w/o RevIN] Epoch  44/100 | Train: 0.04962 | Val: 0.06654 | elapsed 116.1s | GPU 30/24564MB
2026-07-31 16:11:01 [INFO]   [w/o RevIN] Epoch  45/100 | Train: 0.04922 | Val: 0.06545 | elapsed 119.0s | GPU 30/24564MB
2026-07-31 16:11:04 [INFO]   [w/o RevIN] Epoch  46/100 | Train: 0.04911 | Val: 0.06560 | elapsed 121.9s | GPU 30/24564MB
2026-07-31 16:11:07 [INFO]   [w/o RevIN] Epoch  47/100 | Train: 0.04888 | Val: 0.06685 | elapsed 124.8s | GPU 30/24564MB
2026-07-31 16:11:09 [INFO]   [w/o RevIN] Epoch  48/100 | Train: 0.04855 | Val: 0.06474 | elapsed 127.5s | GPU 30/24564MB
2026-07-31 16:11:12 [INFO]   [w/o RevIN] Epoch  49/100 | Train: 0.04844 | Val: 0.06572 | elapsed 130.3s | GPU 30/24564MB
2026-07-31 16:11:15 [INFO]   [w/o RevIN] Epoch  50/100 | Train: 0.04877 | Val: 0.06474 | elapsed 133.0s | GPU 30/24564MB
2026-07-31 16:11:18 [INFO]   [w/o RevIN] Epoch  51/100 | Train: 0.04848 | Val: 0.06500 | elapsed 135.8s | GPU 30/24564MB
2026-07-31 16:11:18 [INFO]   [Early Stop] w/o RevIN epoch 51
2026-07-31 16:11:20 [INFO]   MAE=39.1514  wMAPE=2.90%  Time=135.8s
2026-07-31 16:11:20 [INFO] 
==================================================
  Ablation: w/o Time Embedding
==================================================
2026-07-31 16:11:20 [INFO]   Params: 253.1K
2026-07-31 16:11:23 [INFO]   [w/o Time Embedding] Epoch   1/100 | Train: 22583.13504 | Val: 11606.62293 <- best | elapsed 2.4s | GPU 30/24564MB
2026-07-31 16:11:25 [INFO]   [w/o Time Embedding] Epoch   2/100 | Train: 10526.59440 | Val: 9339.08921 <- best | elapsed 4.6s | GPU 30/24564MB
2026-07-31 16:11:27 [INFO]   [w/o Time Embedding] Epoch   3/100 | Train: 9032.70118 | Val: 9414.11656 | elapsed 6.8s | GPU 30/24564MB
2026-07-31 16:11:29 [INFO]   [w/o Time Embedding] Epoch   4/100 | Train: 8159.72557 | Val: 7250.66750 <- best | elapsed 9.0s | GPU 30/24564MB
2026-07-31 16:11:32 [INFO]   [w/o Time Embedding] Epoch   5/100 | Train: 7463.87371 | Val: 7416.57983 | elapsed 11.2s | GPU 30/24564MB
2026-07-31 16:11:34 [INFO]   [w/o Time Embedding] Epoch   6/100 | Train: 7129.28380 | Val: 7038.90968 <- best | elapsed 13.4s | GPU 30/24564MB
2026-07-31 16:11:36 [INFO]   [w/o Time Embedding] Epoch   7/100 | Train: 6827.59517 | Val: 6505.51060 <- best | elapsed 15.6s | GPU 30/24564MB
2026-07-31 16:11:38 [INFO]   [w/o Time Embedding] Epoch   8/100 | Train: 6512.96524 | Val: 6976.78129 | elapsed 17.8s | GPU 30/24564MB
2026-07-31 16:11:41 [INFO]   [w/o Time Embedding] Epoch   9/100 | Train: 6272.77622 | Val: 6533.59942 | elapsed 20.1s | GPU 30/24564MB
2026-07-31 16:11:43 [INFO]   [w/o Time Embedding] Epoch  10/100 | Train: 6125.23016 | Val: 7051.91930 | elapsed 22.3s | GPU 30/24564MB
2026-07-31 16:11:45 [INFO]   [w/o Time Embedding] Epoch  11/100 | Train: 5917.54656 | Val: 5740.27537 <- best | elapsed 24.5s | GPU 30/24564MB
2026-07-31 16:11:47 [INFO]   [w/o Time Embedding] Epoch  12/100 | Train: 5731.57964 | Val: 5871.98694 | elapsed 26.7s | GPU 30/24564MB
2026-07-31 16:11:49 [INFO]   [w/o Time Embedding] Epoch  13/100 | Train: 5579.42535 | Val: 5883.92227 | elapsed 28.9s | GPU 30/24564MB
2026-07-31 16:11:52 [INFO]   [w/o Time Embedding] Epoch  14/100 | Train: 5562.22253 | Val: 5738.33797 <- best | elapsed 31.3s | GPU 30/24564MB
